p_bat,player_name
407265,Josh Davey
410765,Nurul Hasan
412321,Stuart Chalmers
413702,Berend Westdijk
414248,Hiral Patel
414249,Usman Limbada
414397,Hamza Tariq
414821,Stuart Thompson
414966,Michael Leask
414969,Charles Perchard
414970,Safyaan Sharif
414971,Craig Wallace
414973,Ollie Hairs
414985,Vinoo Tewarie
414990,Jake Ball
416103,Vivian Kingma
416190,Kjorn Ottley
417268,Matthew Cross
417381,Andy McBrine
418615,Jimmy Hansra
418617,Jawad Dawood
419873,Mohammad Shahzad
420341,Wilfred Diepeveen
420402,Afsar Zazai
420419,Tobias Visee
420427,Sese Bau
421892,Tanbir Hayder
422108,KL Rahul
422847,Harmeet Singh
422871,Prabath Jayasuriya
422965,Shehan Jayasuriya
424377,Krishnappa Gowtham
425639,Tendai Chatara
425943,Sanju Samson
427178,Brian Chari
428366,Lahiru Madushanka
429738,Lakshan Sandakan
429748,Amila Aponso
429754,Niroshan Dickwella
429981,Mohammad Irfan
430105,Jaskaran Malhotra
430246,Yuzvendra Chahal
431901,Evin Lewis
431902,Yannic Cariah
431905,Shane Dowrich
431909,Jermaine Blackwood
433614,Zahid Mahmood
434429,Aamer Yamin
436677,Soumya Sarkar
436749,Fayyaz Butt
436757,Heinrich Klaasen
437005,Binod Bhandari
437316,Dasun Shanaka
437927,Stephan Baard
438563,Mark Chapman
439288,Joe Mennie
439952,Chris Morris
440162,Lucas Oluoch
440516,Tom Blundell
440517,Dane Cleaver
440522,Logan van Beek
440523,Ben Wheeler
440963,Aftab Alam
440968,Yamin Ahmadzai
440970,Hashmatullah Shahidi
440977,Parth Desai
440990,Lega Siaka
443150,Kyle Hope
443263,Hayden Walsh
444135,Sohag Gazi
446101,Shannon Gabriel
446507,Suryakumar Yadav
446548,Scott Boland
446690,Pargat Singh
446807,Subash Khakurel
446810,Nazmul Islam
446860,Zhivago Groenewald
447261,Deepak Chahar
447290,Nasir Aziz
447458,Swapnil Patil
447587,Jayant Yadav
448243,Rumman Raees
450075,Kesrick Williams
450101,Raymon Reifer
450860,Adam Milne
451947,Milind Kumar
452472,Anshy Rath
453277,Victor Nyauchi
453289,Neville Madziva
453321,Tapiwa Mufudza
455463,Aamir Kaleem
457249,Carlos Brathwaite
457279,Olly Stone
